# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "data/7/genes.gtf" "-o" "feature_counts.txt" "data/7/SRR453566_mapped.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR453566_mapped.bam
YGL256W	VII	15159	16307	+	1149	613
YGL255W	VII	20978	22108	+	1131	104
YGL254W	VII	22304	23203	+	900	352
YGL253W	VII	23935	25395	+	1461	8574
YGL252C	VII	25718	27484	-	1767	1314
YGL251C	VII;VII	27921;31579	31426;31636	-;-	3564	278
YGL250W	VII	31910	32635	+	726	215
YGL249W	VII	33098	35212	+	2115	186
YGL248W	VII	35653	36762	+	1110	540
YGL247W	VII	36933	37526	+	594	260
YGL246C	VII	37617	38780	-	1164	687
YGL245W	VII	39023	41149	+	2127	6071
YGL244W	VII	41498	43174	+	1677	1628
YGL243W	VII	43307	44509	+	1203	318
YGL242C	VII	44652	45197	-	546	647
YGL241W	VII	45445	48459	+	3015	781
YGL240W	VII	48613	49365	+	753	88
YGL239C	VII	49431	49745	-	315	7
YGL238W	VII	49552	52434	+	2883	2038
YGL237C	VII	52731	53528	-	798	215
YGL236C	VII	53787	55796	-	2010	583
YGL235W	VII	55279	55815	+	537	0
YGL234W	VII	56482	58890	+	2409	13506
YGL233W	VII	59122	61854	+	2733	841
YGL232W	VII;VII	62075;62190	62131;63002	+;+	870	617
YGL231C	VII	63048	63620	-	573	815
YGL230C	VII	63772	64215	-	444	27
YGL229C	VII	64503	66959	-	2457	229
YGL228W	VII	67598	69331	+	1734	1821
YGL227W	VII	69671	72547	+	2877	499
YGL226C-A	VII;VII	72749;73138	72988;73158	-;-	261	568
YGL226W	VII	73340	73711	+	372	190
tV(AAC)G3	VII	73829	73902	-	74	4
YGL225W	VII	76894	77907	+	1014	3570
YGL224C	VII	78015	78857	-	843	569
YGL223C	VII	79112	80365	-	1254	529
YGL222C	VII	80659	81186	-	528	118
YGL221C	VII	81426	82292	-	867	927
YGL220W	VII	82374	82736	+	363	931
YGL219C	VII	82878	84257	-	1380	455
YGL218W	VII	83650	84300	+	651	0
YGL217C	VII	84839	85180	-	342	11
YGL216W	VII	84885	87302	+	2418	350
YGL215W	VII	87981	89339	+	1359	1689
YGL214W	VII	90010	90495	+	486	3
YGL213C	VII	90054	91247	-	1194	408
YGL212W	VII	91432	92382	+	951	202
YGL211W	VII	92512	93591	+	1080	595
YGL210W	VII	93792	94460	+	669	490
YGL209W	VII	95858	97006	+	1149	272
YGL208W	VII	97338	98585	+	1248	175
YGL207W	VII	98969	102076	+	3108	3070
YGL206C	VII	102543	107504	-	4962	3031
YGL205W	VII	108158	110404	+	2247	72
tH(GUG)G1	VII	110625	110696	-	72	24
YGL204C	VII	111700	112005	-	306	236
YGL203C	VII	112475	114664	-	2190	1297
tK(UUU)G1	VII;VII	115488;115548	115524;115583	+;+	73	2
YGL202W	VII	116059	117561	+	1503	4850
YGL201C	VII	117854	120907	-	3054	1162
tK(CUU)G1	VII	122269	122341	+	73	2
YGL200C	VII	122694	123305	-	612	3697
YGL199C	VII	123572	124042	-	471	0
YGL198W	VII	123591	124298	+	708	170
YGL197W	VII	124698	129161	+	4464	1122
YGL196W	VII	129883	131169	+	1287	569
YGL195W	VII	131525	139543	+	8019	3870
YGL194C-A	VII	139719	139961	-	243	154
YGL194C	VII	140368	141726	-	1359	203
YGL193C	VII	141916	142227	-	312	58
YGL192W	VII	142246	144048	+	1803	476
YGL191W	VII	144808	145197	+	390	1539
YGL190C	VII	145809	147389	-	1581	897
YGL189C	VII	148229	148588	-	360	8503
YGL188C-A	VII	148824	148964	-	141	100
YGL188C	VII	149343	149516	-	174	217
YGL187C	VII	149704	150171	-	468	1966
YGL186C	VII	151037	152776	-	1740	2164
YGL185C	VII	153167	154306	-	1140	234
YGL184C	VII	154615	156012	-	1398	1026
YGL183C	VII;VII	156543;157283	157199;157285	-;-	660	40
YGL182C	VII	157273	157596	-	324	8
YGL181W	VII	157906	159096	+	1191	750
YGL180W	VII	160065	162758	+	2694	268
YGL179C	VII	163409	165091	-	1683	179
YGL178W	VII;VII	167352;167995	167354;170571	+;+	2580	558
YGL177W	VII	167559	167906	+	348	28
YGL176C	VII	171415	173079	-	1665	293
YGL175C	VII	173285	174322	-	1038	153
YGL174W	VII	174545	175345	+	801	135
YGL173C	VII	175527	180113	-	4587	3730
YGL172W	VII	180700	182118	+	1419	964
YGL171W	VII	182390	184084	+	1695	823
YGL170C	VII	184153	185394	-	1242	41
tK(CUU)G2	VII	185714	185786	-	73	0
YGL169W	VII	186059	187339	+	1281	654
YGL168W	VII	187464	187796	+	333	47
YGL167C	VII	187616	190468	-	2853	1803
YGL166W	VII	191129	191806	+	678	81
YGL165C	VII	191398	191976	-	579	3
YGL164C	VII	191978	193300	-	1323	372
YGL163C	VII	193707	196403	-	2697	639
YGL162W	VII	198138	199037	+	900	96
YGL161C	VII	199210	200142	-	933	1381
YGL160W	VII	200561	202273	+	1713	817
YGL159W	VII	202721	203833	+	1113	416
tL(CAA)G1	VII;VII	205521;205591	205558;205634	+;+	82	0
YGL158W	VII	207033	208571	+	1539	30
YGL157W	VII	209006	210049	+	1044	695
YGL156W	VII	210416	213667	+	3252	321
YGL155W	VII	214081	215211	+	1131	567
YGL154C	VII	215278	216096	-	819	275
YGL153W	VII	216273	217298	+	1026	142
YGL152C	VII	216692	217369	-	678	0
YGL151W	VII	217524	220922	+	3399	982
YGL150C	VII	221104	225573	-	4470	1958
YGL149W	VII	225572	225877	+	306	80
YGL148W	VII	226399	227529	+	1131	3374
YGL147C	VII	227754	228329	-	576	13933
YGL146C	VII	228751	229686	-	936	83
YGL145W	VII	230243	232348	+	2106	734
YGL144C	VII	232450	234507	-	2058	279
YGL143C	VII	234717	235958	-	1242	765
YGL142C	VII	236269	238119	-	1851	593
YGL141W	VII	238353	241085	+	2733	718
YGL140C	VII	241353	245012	-	3660	1671
YGL139W	VII	245716	248124	+	2409	1370
YGL138C	VII	248494	249531	-	1038	4
YGL137W	VII;VII	249869;250087	249886;252738	+;+	2670	3660
YGL136C	VII	252897	253859	-	963	294
YGL135W	VII	254641	255294	+	654	16492
YGL134W	VII	255663	256964	+	1302	288
YGL133W	VII	257707	261501	+	3795	968
YGL132W	VII	261580	261915	+	336	7
YGL131C	VII	261648	265859	-	4212	380
YGL130W	VII	266145	267524	+	1380	690
YGL129C	VII	267723	269075	-	1353	933
YGL128C	VII	269293	270144	-	852	202
YGL127C	VII	270392	270775	-	384	237
YGL126W	VII	270997	272139	+	1143	571
YGL125W	VII	272520	274322	+	1803	3350
YGL124C	VII	274780	276714	-	1935	380
YGL123W	VII	277617	278381	+	765	15679
YGL123C-A	VII	277634	277864	-	231	0
YGL122C	VII	278946	280523	-	1578	1394
YGL121C	VII	280777	281157	-	381	43
YGL120C	VII	281634	283937	-	2304	1868
YGL119W	VII	284442	285947	+	1506	503
tW(CCA)G1	VII;VII	287350;287420	287385;287455	-;-	72	0
YGL118C	VII	288014	288451	-	438	11
YGL117W	VII	288512	289309	+	798	707
YGL116W	VII	289809	291641	+	1833	350
YGL115W	VII	292033	293001	+	969	968
YGL114W	VII	293460	295637	+	2178	961
YGL113W	VII	295932	297938	+	2007	405
YGL112C	VII	298178	299728	-	1551	927
YGL111W	VII	299978	301369	+	1392	910
YGL110C	VII	301537	303411	-	1875	646
YGL109W	VII	303513	303836	+	324	45
YGL108C	VII	303649	304071	-	423	225
YGL107C	VII	304333	306273	-	1941	1049
YGL106W	VII	306560	307009	+	450	1424
YGL105W	VII	307437	308567	+	1131	3811
YGL104C	VII	308713	310173	-	1461	207
YGL103W	VII;VII	310967;311527	311015;311927	+;+	450	507
YGL102C	VII	311505	311933	-	429	81
YGL101W	VII	312193	312840	+	648	498
YGL100W	VII	313234	314283	+	1050	886
YGL099W	VII	314631	316553	+	1923	991
snR82	VII	316788	317055	+	268	38
YGL098W	VII	317342	318079	+	738	318
tH(GUG)G2	VII	319781	319852	+	72	2
YGL097W	VII	321782	323230	+	1449	1824
YGL096W	VII	325331	326161	+	831	133
tE(UUC)G1	VII	328583	328654	+	72	7
YGL095C	VII	328874	330607	-	1734	605
YGL094C	VII	331118	334465	-	3348	1059
YGL093W	VII	334886	337639	+	2754	798
YGL092W	VII	337906	341859	+	3954	1867
YGL091C	VII	342056	343042	-	987	487
YGL090W	VII	343319	344584	+	1266	283
YGL089C	VII	344791	345153	-	363	53
YGL088W	VII	345836	346201	+	366	0
snR10	VII	345986	346230	+	245	9
YGL087C	VII;VII	346406;346894	346808;346904	-;-	414	474
YGL086W	VII	347119	349368	+	2250	894
YGL085W	VII	349616	350440	+	825	366
YGL084C	VII	350616	352298	-	1683	1296
YGL083W	VII	353058	355472	+	2415	589
YGL082W	VII	355827	356972	+	1146	785
YGL081W	VII	357377	358339	+	963	29
YGL080W	VII	358636	359028	+	393	364
YGL079W	VII	359444	360100	+	657	219
YGL078C	VII	360288	361859	-	1572	2291
YGL077C	VII	362225	363916	-	1692	5444
YGL076C	VII;VII;VII	364335;365433;365986	364964;365526;365996	-;-;-	735	15503
snR39	VII	365163	365251	-	89	73
snR39B	VII	366374	366469	-	96	9
YGL075C	VII	366925	368088	-	1164	138
YGL074C	VII	368596	368922	-	327	2
YGL073W	VII	368753	371254	+	2502	795
YGL072C	VII	371003	371362	-	360	0
YGL071W	VII	372012	374084	+	2073	751
YGL070C	VII	374459	374827	-	369	627
YGL069C	VII	375050	375514	-	465	0
YGL068W	VII	375087	375671	+	585	293
YGL067W	VII	376101	377255	+	1155	520
YGL066W	VII	377609	379582	+	1974	572
YGL065C	VII	379760	381271	-	1512	629
YGL064C	VII	381523	383208	-	1686	358
YGL063W	VII	383654	384766	+	1113	139
YGL063C-A	VII	384502	384651	-	150	0
YGL062W	VII	385196	388732	+	3537	8650
YGL061C	VII	388968	389711	-	744	385
YGL060W	VII	390065	391990	+	1926	461
YGL059W	VII	392223	393698	+	1476	396
YGL058W	VII	393986	394504	+	519	545
YGL057C	VII	394966	395829	-	864	219
YGL056C	VII	396035	397618	-	1584	1143
YGL055W	VII	398628	400160	+	1533	11667
YGL054C	VII	400871	401287	-	417	1799
tE(UUC)G2	VII	401527	401598	-	72	0
YGL053W	VII	402589	403302	+	714	266
YGL052W	VII	403437	403742	+	306	37
YGL051W	VII	403687	404391	+	705	59
tR(UCU)G1	VII	405470	405541	+	72	2
YGL050W	VII	405776	406597	+	822	499
YGL049C	VII	406860	409604	-	2745	1099
YGL048C	VII	410069	411286	-	1218	2997
YGL047W	VII	411552	412160	+	609	289
tV(AAC)G1	VII	412294	412367	-	74	2
YGL045W	VII	414102	415730	+	1629	185
YGL044C	VII	416146	417036	-	891	515
YGL043W	VII	417483	418412	+	930	734
YGL042C	VII	418288	418593	-	306	103
YGL041C-B	VII	418704	418886	-	183	2
YGL041W-A	VII	418825	419289	+	465	40
YGL041C	VII	419022	419225	-	204	0
YGL040C	VII	419527	420555	-	1029	1765
tL(CAA)G2	VII;VII	423092;423162	423129;423205	+;+	82	0
YGL039W	VII	423961	425007	+	1047	449
YGL038C	VII	425362	426804	-	1443	541
YGL037C	VII	427297	427947	-	651	1059
YGL036W	VII	428601	431330	+	2730	703
YGL035C	VII	431548	433062	-	1515	969
YGL034C	VII	433214	433579	-	366	7
YGL033W	VII;VII	435625;435750	435679;436351	+;+	657	28
YGL032C	VII	436570	436833	-	264	299
YGL031C	VII	437467	437934	-	468	11623
YGL030W	VII;VII	439091;439324	439093;439638	+;+	318	21587
YGL029W	VII	440063	440425	+	363	872
tF(GAA)G	VII;VII	440716;440771	440751;440807	-;-	73	0
YGL028C	VII	441281	442909	-	1629	1613
YGL027C	VII	443642	446143	-	2502	1798
YGL026C	VII	446412	448535	-	2124	4411
YGL025C	VII	448764	449957	-	1194	320
YGL024W	VII	449788	450123	+	336	7
YGL023C	VII	450197	452104	-	1908	1266
YGL022W	VII	452404	454560	+	2157	4651
YGL021W	VII	454785	457067	+	2283	1137
YGL020C	VII	457163	457870	-	708	1040
YGL019W	VII	458156	458992	+	837	1061
YGL018C	VII	459110	459664	-	555	204
YGL017W	VII	459854	461365	+	1512	278
YGL016W	VII	461666	464911	+	3246	862
YGL015C	VII	465043	465435	-	393	21
YGL014W	VII	466141	468807	+	2667	1280
YGL014C-A	VII	466237	466398	-	162	0
YGL013C	VII	469092	472298	-	3207	1238
YGL012W	VII	472855	474276	+	1422	5062
YGL011C	VII	474489	475247	-	759	2039
YGL010W	VII	475545	476069	+	525	247
YGL009C	VII	476313	478652	-	2340	13990
YGL008C	VII	479910	482666	-	2757	85015
YGL007C-A	VII	482941	483027	-	87	5
YGL007W	VII	483260	483637	+	378	28
YGL006W-A	VII	485423	485533	+	111	40
YGL006W	VII	485921	489442	+	3522	2462
YGL005C	VII	489708	490547	-	840	574
YGL004C	VII	490703	491956	-	1254	367
YGL003C	VII	492474	494174	-	1701	394
YGL002W	VII	494517	495167	+	651	423
YGL001C	VII	495453	496502	-	1050	1692
YGR001C	VII;VII;VII	497133;497459;498000	497365;497937;498034	-;-;-	747	897
YGR002C	VII	498476	499906	-	1431	534
YGR003W	VII	500132	502366	+	2235	450
YGR004W	VII	502938	504326	+	1389	310
YGR005C	VII	504657	505859	-	1203	1005
YGR006W	VII	506070	506825	+	756	160
YGR007W	VII	506969	507940	+	972	661
YGR008C	VII	508110	508364	-	255	403
YGR009C	VII	509047	511002	-	1956	935
YGR010W	VII	511545	512732	+	1188	351
YGR011W	VII	512497	512823	+	327	23
YGR012W	VII	513159	514340	+	1182	553
YGR013W	VII	514554	516416	+	1863	597
YGR014W	VII	516943	520863	+	3921	2209
YGR015C	VII	521090	522076	-	987	150
YGR016W	VII	522261	522833	+	573	77
YGR017W	VII	523787	524680	+	894	618
YGR018C	VII	524365	524694	-	330	11
YGR019W	VII	525229	526644	+	1416	554
YGR020C	VII	526973	527329	-	357	1706
YGR021W	VII	527632	528504	+	873	571
YGR022C	VII	529257	529586	-	330	1
YGR023W	VII	529264	530919	+	1656	211
tD(GUC)G1	VII	531610	531681	+	72	0
YGR024C	VII	531883	532596	-	714	700
YGR025W	VII	532639	532941	+	303	147
YGR026W	VII	532985	533821	+	837	1581
YGR027C	VII	534132	534458	-	327	13291
YGR027W-A	VII	536057	537379	+	1323	0
YGR027W-B	VII;VII	536057;537363	537361;541325	+;+	5268	252
tE(UUC)G3	VII	541850	541921	+	72	0
YGR028W	VII	542203	543291	+	1089	624
YGR029W	VII;VII	543553;543722	543638;544205	+;+	570	698
tD(GUC)G2	VII	544577	544648	-	72	2
snR46	VII	545370	545566	+	197	47
YGR030C	VII	545681	546157	-	477	150
YGR031W	VII	546441	547469	+	1029	283
YGR031C-A	VII	546809	547300	-	492	0
YGR032W	VII	548264	553951	+	5688	1821
YGR033C	VII	554248	554967	-	720	878
YGR034W	VII;VII	555812;556308	555830;556672	+;+	384	12053
YGR035C	VII	557072	557422	-	351	205
YGR035W-A	VII	557565	557786	+	222	72
YGR036C	VII	558149	558868	-	720	306
YGR037C	VII	559731	559994	-	264	2069
YGR038W	VII	560682	561350	+	669	529
tS(AGA)G	VII	561662	561743	-	82	2
YGR038C-B	VII;VII	562199;566163	566161;567467	-;-	5268	871
YGR038C-A	VII	566145	567467	-	1323	0
YGR039W	VII	574888	575199	+	312	45
YGR040W	VII	575398	576504	+	1107	396
YGR041W	VII	577487	579130	+	1644	549
YGR042W	VII	579476	580291	+	816	362
YGR043C	VII	580435	581436	-	1002	368
YGR044C	VII	582990	583892	-	903	555
YGR045C	VII	583934	584296	-	363	11
YGR046W	VII	584895	586052	+	1158	588
YGR047C	VII	586392	589469	-	3078	766
YGR048W	VII	589826	590911	+	1086	702
YGR049W	VII	591314	591877	+	564	992
YGR050C	VII	592086	592442	-	357	86
YGR051C	VII	592906	593229	-	324	70
YGR052W	VII	593596	594705	+	1110	217
YGR053C	VII	594986	595837	-	852	77
YGR054W	VII	596693	598621	+	1929	1986
YGR055W	VII	599417	601141	+	1725	3025
YGR056W	VII	601661	604447	+	2787	656
YGR057C	VII	604773	605501	-	729	354
YGR058W	VII	606136	607143	+	1008	329
YGR059W	VII	607563	609101	+	1539	36
snR48	VII	609584	609696	+	113	21
YGR060W	VII	610564	611493	+	930	9905
YGR061C	VII	611889	615965	-	4077	10062
YGR062C	VII	616328	617278	-	951	281
YGR063C	VII	617516	617824	-	309	116
YGR064W	VII	617621	617989	+	369	5
YGR065C	VII	618077	619858	-	1782	1597
YGR066C	VII	620921	621799	-	879	34
YGR067C	VII	622372	624786	-	2415	69
YGR068C	VII	625324	627084	-	1761	286
YGR068W-A	VII	626294	626389	+	96	0
YGR069W	VII	627083	627418	+	336	5
YGR070W	VII	627806	631273	+	3468	260
YGR071C	VII	631481	634063	-	2583	458
YGR072W	VII	634304	635467	+	1164	588
YGR073C	VII	635615	635986	-	372	1
YGR074W	VII	635712	636152	+	441	35
YGR075C	VII	636147	636875	-	729	173
YGR076C	VII	637104	637577	-	474	480
YGR077C	VII	637744	639513	-	1770	315
YGR078C	VII	639772	640371	-	600	445
YGR079W	VII	640720	641832	+	1113	320
YGR080W	VII	642010	643008	+	999	541
YGR081C	VII	643148	643780	-	633	348
YGR082W	VII	644044	644595	+	552	1082
YGR083C	VII	644860	646815	-	1956	1627
YGR084C	VII	647123	648142	-	1020	927
YGR085C	VII	648383	648907	-	525	7852
YGR086C	VII	649598	650617	-	1020	6720
YGR087C	VII	651290	652981	-	1692	128
YGR088W	VII	654634	656322	+	1689	167
YGR089W	VII	656960	659770	+	2811	1102
tT(UGU)G1	VII	661749	661820	+	72	0
YGR090W	VII	662358	666071	+	3714	1989
YGR091W	VII	666341	667825	+	1485	311
YGR092W	VII	668189	669907	+	1719	533
YGR093W	VII	670388	671911	+	1524	565
YGR094W	VII	672186	675500	+	3315	7894
YGR095C	VII	675671	676342	-	672	444
YGR096W	VII	676621	677565	+	945	127
YGR097W	VII	678695	682135	+	3441	809
YGR098C	VII	682566	687458	-	4893	858
YGR099W	VII	687899	689965	+	2067	628
YGR100W	VII	690245	693097	+	2853	862
YGR101W	VII	693363	694403	+	1041	510
YGR102C	VII	694584	695135	-	552	252
YGR103W	VII	695417	697234	+	1818	3715
YGR104C	VII	697445	698368	-	924	332
YGR105W	VII	698599	698832	+	234	698
YGR106C	VII	698989	699786	-	798	3707
tL(GAG)G	VII	700675	700756	+	82	1
tK(UUU)G2	VII;VII	700953;701012	700988;701048	-;-	73	0
YGR107W	VII	702667	703116	+	450	11
YGR108W	VII	703636	705051	+	1416	763
YGR109C	VII	705359	706501	-	1143	141
tC(GCA)G	VII	707108	707179	-	72	0
YGR109W-A	VII	707610	708482	+	873	0
YGR109W-B	VII;VII	707610;708461	708459;712254	+;+	4644	440
YGR110W	VII	713709	715046	+	1338	191
YGR111W	VII	715828	717030	+	1203	514
YGR112W	VII	717358	718527	+	1170	415
YGR113W	VII	718893	719924	+	1032	541
YGR114C	VII	720265	720654	-	390	0
YGR115C	VII	720372	721151	-	780	0
YGR116W	VII	720409	724764	+	4356	2249
YGR117C	VII	725049	726479	-	1431	851
YGR118W	VII;VII	726974;727358	727038;727730	+;+	438	13813
YGR119C	VII	728046	729671	-	1626	1275
YGR120C	VII	730033	730821	-	789	238
tN(GUU)G	VII	731137	731210	+	74	2
YGR121C	VII	731449	732927	-	1479	1169
YGR121W-A	VII	733412	733627	+	216	7
YGR122W	VII	733935	735143	+	1209	327
YGR122C-A	VII	735630	735758	-	129	30
tR(UCU)G3	VII	736340	736411	+	72	6
YGR123C	VII	736662	738203	-	1542	927
tI(AAU)G	VII	739122	739195	+	74	5
YGR124W	VII	739944	741662	+	1719	6418
YGR125W	VII	742325	745435	+	3111	1712
YGR126W	VII	745835	746527	+	693	75
YGR127W	VII	746798	747736	+	939	204
YGR128C	VII	747950	750091	-	2142	1570
YGR129W	VII	750400	751047	+	648	158
YGR130C	VII	751394	753844	-	2451	1508
YGR131W	VII	754726	755250	+	525	42
YGR132C	VII	755589	756452	-	864	2754
YGR133W	VII	756896	757447	+	552	206
YGR134W	VII	757770	761138	+	3369	585
YGR135W	VII	761392	762168	+	777	2179
YGR136W	VII	762428	763153	+	726	406
YGR137W	VII	762888	763262	+	375	90
YGR138C	VII	763762	765606	-	1845	1195
YGR139W	VII	765726	766064	+	339	39
YGR140W	VII	767429	770299	+	2871	613
YGR141W	VII	770569	771972	+	1404	616
YGR142W	VII	772454	773686	+	1233	1000
tA(AGC)G	VII	774349	774421	+	73	0
YGR143W	VII	775193	777508	+	2316	650
tG(UCC)G	VII	779616	779687	+	72	0
YGR144W	VII	780399	781379	+	981	104
YGR145W	VII	781767	783890	+	2124	1360
YGR146C	VII	784223	784858	-	636	215
YGR146C-A	VII	785276	785437	-	162	25
YGR147C	VII	786054	786920	-	867	1167
YGR148C	VII	787312	787779	-	468	10325
YGR149W	VII	789031	790329	+	1299	562
YGR150C	VII	790459	793053	-	2595	1238
tA(UGC)G	VII	794417	794489	+	73	2
YGR151C	VII	794655	794990	-	336	0
YGR152C	VII	794674	795492	-	819	345
YGR153W	VII	796092	796745	+	654	157
YGR154C	VII	796798	797868	-	1071	139
YGR155W	VII	798543	800066	+	1524	5702
YGR156W	VII	800546	801823	+	1278	409
YGR157W	VII	802440	805049	+	2610	3981
YGR158C	VII	805269	806021	-	753	553
YGR159C	VII	806412	807656	-	1245	2169
YGR160W	VII	807073	807684	+	612	10
YGR161C	VII	808629	809420	-	792	560
YGR161W-C	VII	810227	810505	+	279	135
YGR161W-A	VII	811738	813054	+	1317	0
YGR161W-B	VII;VII	811738;813032	813030;817051	+;+	5313	32
YGR161C-D	VII;VII	817747;821711	821709;823015	-;-	5268	474
YGR161C-C	VII	821693	823015	-	1323	0
tV(AAC)G2	VII	823482	823555	+	74	8
YGR162W	VII	824059	826917	+	2859	5639
YGR163W	VII	827552	828577	+	1026	572
YGR164W	VII	828625	828960	+	336	3
tR(UCU)G2	VII	828723	828794	-	72	0
YGR165W	VII	829116	830153	+	1038	1177
YGR166W	VII	830515	832197	+	1683	316
YGR167W	VII	832456	833157	+	702	1565
YGR168C	VII	833352	834482	-	1131	331
YGR169C	VII	834689	835903	-	1215	395
YGR169C-A	VII	836387	836665	-	279	831
YGR170W	VII	837142	840558	+	3417	1020
YGR171C	VII	840824	842551	-	1728	570
YGR172C	VII	842845	843591	-	747	722
YGR173W	VII	843854	844960	+	1107	845
tG(GCC)G1	VII	845649	845719	+	71	5
YGR174C	VII	845893	846405	-	513	347
YGR174W-A	VII	846655	846741	+	87	11
YGR175C	VII	846933	848423	-	1491	4563
YGR176W	VII	848720	849067	+	348	9
YGR177C	VII	848829	850436	-	1608	333
YGR178C	VII	851047	853215	-	2169	2528
YGR179C	VII	853675	854895	-	1221	351
YGR180C	VII	855264	856301	-	1038	2480
tL(CAA)G3	VII;VII	857378;857454	857421;857491	-;-	82	0
YGR181W	VII	858287	858604	+	318	268
YGR182C	VII	858551	858904	-	354	645
YGR183C	VII;VII	859063;859474	859260;859476	-;-	201	1966
YGR184C	VII	859901	865753	-	5853	1943
YGR185C	VII	866336	867520	-	1185	2853
YGR186W	VII	867774	869981	+	2208	1841
YGR187C	VII	870232	871416	-	1185	1180
YGR188C	VII	872044	875109	-	3066	373
tK(CUU)G3	VII	876394	876466	+	73	2
YGR189C	VII	876669	878192	-	1524	3904
tW(CCA)G2	VII;VII	878710;878780	878745;878815	-;-	72	2
YGR190C	VII	880296	880661	-	366	94
YGR191W	VII	880420	882231	+	1812	1523
YGR192C	VII	882812	883810	-	999	141217
YGR193C	VII	884509	885741	-	1233	898
YGR194C	VII	886073	887875	-	1803	414
YGR195W	VII	888882	889622	+	741	416
YGR196C	VII	889733	892186	-	2454	682
YGR197C	VII	892497	894140	-	1644	267
YGR198W	VII	894693	897146	+	2454	629
YGR199W	VII	897502	899781	+	2280	1256
YGR200C	VII	899904	902270	-	2367	1722
YGR201C	VII	902520	903197	-	678	147
YGR202C	VII	903474	904748	-	1275	975
YGR203W	VII	905237	905683	+	447	321
YGR204W	VII	905934	908774	+	2841	10875
YGR204C-A	VII	909061	909174	-	114	17
YGR205W	VII	909213	910085	+	873	192
YGR206W	VII	910432	910737	+	306	143
YGR207C	VII	910843	911628	-	786	1623
YGR208W	VII	911883	912812	+	930	1743
YGR209C	VII	912913	913227	-	315	1110
YGR210C	VII	913503	914738	-	1236	1485
YGR211W	VII	915241	916701	+	1461	1833
YGR212W	VII	917040	918446	+	1407	155
YGR213C	VII	918512	919465	-	954	106
YGR214W	VII;VII	920575;921120	920664;921788	+;+	759	11420
YGR215W	VII	922175	922507	+	333	528
YGR216C	VII	922633	924462	-	1830	568
YGR217W	VII	924696	930815	+	6120	815
tG(GCC)G2	VII	930953	931023	-	71	4
YGR218W	VII	932541	935795	+	3255	2115
YGR219W	VII	936035	936376	+	342	3
YGR220C	VII	936074	936883	-	810	526
YGR221C	VII	937124	938992	-	1869	272
snR7-L	VII	939459	939672	-	214	1
snR7-S	VII	939494	939672	-	179	0
YGR222W	VII	939923	940804	+	882	504
YGR223C	VII	940869	942215	-	1347	374
YGR224W	VII	942806	944647	+	1842	197
YGR225W	VII;VII	945145;946421	946327;947019	+;+	1782	25
YGR226C	VII	946792	947001	-	210	0
YGR227W	VII	947420	948997	+	1578	736
YGR228W	VII	949365	949709	+	345	1
YGR229C	VII	949382	950899	-	1518	1751
YGR230W	VII	951894	952307	+	414	77
YGR231C	VII	952548	953480	-	933	2686
YGR232W	VII	953960	954646	+	687	421
YGR233C	VII	954674	958210	-	3537	705
YGR234W	VII	959904	961103	+	1200	15235
YGR235C	VII	961360	962061	-	702	793
YGR236C	VII	962530	962817	-	288	7
YGR237C	VII	963298	965655	-	2358	579
YGR238C	VII	966039	968687	-	2649	587
YGR239C	VII	969187	970053	-	867	601
YGR240C	VII	970771	973734	-	2964	9229
YGR240C-A	VII	974577	974777	-	201	83
YGR241C	VII	974875	976581	-	1707	529
YGR242W	VII	976415	976723	+	309	19
YGR243W	VII	977336	977776	+	441	181
YGR244C	VII	978036	979319	-	1284	1804
YGR245C	VII	979765	982068	-	2304	1772
YGR246C	VII	982482	984272	-	1791	556
YGR247W	VII	984966	985685	+	720	256
YGR248W	VII	985972	986739	+	768	46
YGR249W	VII	988049	989419	+	1371	73
YGR250C	VII	991176	993521	-	2346	1042
YGR251W	VII	995639	996229	+	591	286
YGR252W	VII	996869	998188	+	1320	698
YGR253C	VII	998358	999140	-	783	2604
YGR254W	VII	1000927	1002240	+	1314	9063
YGR255C	VII	1002523	1003962	-	1440	728
tT(UGU)G2	VII	1004216	1004287	+	72	0
YGR256W	VII	1004624	1006102	+	1479	95
YGR257C	VII	1006205	1007305	-	1101	713
YGR258C	VII	1007671	1010766	-	3096	520
YGR259C	VII	1012481	1012921	-	441	0
YGR260W	VII	1012485	1014089	+	1605	2049
YGR261C	VII	1014321	1016750	-	2430	1353
YGR262C	VII	1016974	1017759	-	786	589
YGR263C	VII	1017967	1019241	-	1275	298
YGR264C	VII	1019598	1021853	-	2256	4012
YGR265W	VII	1021648	1022058	+	411	20
YGR266W	VII	1022656	1024761	+	2106	818
YGR267C	VII	1025004	1025735	-	732	1804
YGR268C	VII	1026057	1026653	-	597	227
YGR269W	VII	1026636	1026962	+	327	28
YGR270W	VII	1027370	1031509	+	4140	1692
YGR270C-A	VII	1027382	1027600	-	219	0
YGR271W	VII	1031791	1037694	+	5904	1024
YGR271C-A	VII	1037800	1038501	-	702	878
YGR273C	VII	1038715	1039239	-	525	2
YGR274C	VII	1039895	1043095	-	3201	847
YGR275W	VII	1043276	1043749	+	474	469
YGR276C	VII	1043819	1045480	-	1662	885
YGR277C	VII	1045644	1046561	-	918	581
YGR278W	VII	1046731	1048464	+	1734	287
YGR279C	VII	1048798	1049958	-	1161	5782
